year_id,team_id,games,ws_win,wins,team_name
1906,CHA,154,Y,93,Chicago White Sox
1906,CHN,154,N,116,Chicago Cubs
1906,CIN,155,N,64,Cincinnati Reds
1906,CLE,157,N,89,Cleveland Naps
1906,DET,151,N,71,Detroit Tigers
1906,NY1,152,N,96,New York Giants
1906,NYA,155,N,90,New York Highlanders
1906,PHA,149,N,78,Philadelphia Athletics
1906,PHI,154,N,71,Philadelphia Phillies
1906,PIT,154,N,93,Pittsburgh Pirates
1906,SLA,154,N,76,St. Louis Browns
1906,SLN,154,N,52,St. Louis Cardinals
1906,WS1,151,N,55,Washington Senators
1907,BOS,155,N,59,Boston Americans
1907,BRO,153,N,65,Brooklyn Superbas
1907,BSN,152,N,58,Boston Doves
1907,CHA,157,N,87,Chicago White Sox
1907,CHN,155,Y,107,Chicago Cubs
1907,CIN,156,N,66,Cincinnati Reds
1907,CLE,158,N,85,Cleveland Naps
1907,DET,153,N,92,Detroit Tigers
1907,NY1,155,N,82,New York Giants
1907,NYA,152,N,70,New York Highlanders
1907,PHA,150,N,88,Philadelphia Athletics
1907,PHI,149,N,83,Philadelphia Phillies
1907,PIT,157,N,91,Pittsburgh Pirates
1907,SLA,155,N,69,St. Louis Browns
1907,SLN,155,N,52,St. Louis Cardinals
1907,WS1,154,N,49,Washington Senators
1908,BOS,155,N,75,Boston Red Sox
1908,BRO,154,N,53,Brooklyn Superbas
1908,BSN,156,N,63,Boston Doves
1908,CHA,156,N,88,Chicago White Sox
1908,CHN,158,Y,99,Chicago Cubs
1908,CIN,155,N,73,Cincinnati Reds
1908,CLE,157,N,90,Cleveland Naps
1908,DET,154,N,90,Detroit Tigers
1908,NY1,157,N,98,New York Giants
1908,NYA,155,N,51,New York Highlanders
1908,PHA,157,N,68,Philadelphia Athletics
1908,PHI,155,N,83,Philadelphia Phillies
1908,PIT,155,N,98,Pittsburgh Pirates
1908,SLA,155,N,83,St. Louis Browns
1908,SLN,154,N,49,St. Louis Cardinals
1908,WS1,155,N,67,Washington Senators
1909,BOS,152,N,88,Boston Red Sox
1909,BRO,155,N,55,Brooklyn Superbas
1909,BSN,155,N,45,Boston Doves
1909,CHA,159,N,78,Chicago White Sox
1909,CHN,155,N,104,Chicago Cubs
1909,CIN,157,N,77,Cincinnati Reds
1909,CLE,155,N,71,Cleveland Naps
1909,DET,158,N,98,Detroit Tigers
1909,NY1,158,N,92,New York Giants
1909,NYA,153,N,74,New York Highlanders
1909,PHA,153,N,95,Philadelphia Athletics
1909,PHI,154,N,74,Philadelphia Phillies
1909,PIT,154,Y,110,Pittsburgh Pirates
1909,SLA,154,N,61,St. Louis Browns
1909,SLN,154,N,54,St. Louis Cardinals
1909,WS1,156,N,42,Washington Senators
1910,BOS,158,N,81,Boston Red Sox
1910,BRO,156,N,64,Brooklyn Superbas
1910,BSN,157,N,53,Boston Doves
1910,CHA,156,N,68,Chicago White Sox
1910,CHN,154,N,104,Chicago Cubs
1910,CIN,156,N,75,Cincinnati Reds
1910,CLE,161,N,71,Cleveland Naps
1910,DET,155,N,86,Detroit Tigers
1910,NY1,155,N,91,New York Giants
1910,NYA,156,N,88,New York Highlanders
1910,PHA,155,Y,102,Philadelphia Athletics
1910,PHI,157,N,78,Philadelphia Phillies
1910,PIT,154,N,86,Pittsburgh Pirates
1910,SLA,158,N,47,St. Louis Browns
1910,SLN,153,N,63,St. Louis Cardinals
1910,WS1,157,N,66,Washington Senators
1911,BOS,153,N,78,Boston Red Sox
1911,BRO,154,N,64,Brooklyn Dodgers
1911,BSN,156,N,44,Boston Rustlers
1911,CHA,154,N,77,Chicago White Sox
1911,CHN,157,N,92,Chicago Cubs
1911,CIN,159,N,70,Cincinnati Reds
1911,CLE,156,N,80,Cleveland Naps
1911,DET,154,N,89,Detroit Tigers
1911,NY1,154,N,99,New York Giants
1911,NYA,153,N,76,New York Highlanders
1911,PHA,152,Y,101,Philadelphia Athletics
1911,PHI,153,N,79,Philadelphia Phillies
1911,PIT,155,N,85,Pittsburgh Pirates
1911,SLA,152,N,45,St. Louis Browns
1911,SLN,158,N,75,St. Louis Cardinals
1911,WS1,154,N,64,Washington Senators
1912,BOS,154,Y,105,Boston Red Sox
1912,BRO,153,N,58,Brooklyn Dodgers
1912,BSN,155,N,52,Boston Braves
1912,CHA,158,N,78,Chicago White Sox
1912,CHN,152,N,91,Chicago Cubs
1912,CIN,155,N,75,Cincinnati Reds
1912,CLE,155,N,75,Cleveland Naps
1912,DET,154,N,69,Detroit Tigers
1912,NY1,154,N,103,New York Giants
1912,NYA,153,N,50,New York Highlanders
1912,PHA,153,N,90,Philadelphia Athletics
1912,PHI,152,N,73,Philadelphia Phillies
1912,PIT,152,N,93,Pittsburgh Pirates
1912,SLA,157,N,53,St. Louis Browns
1912,SLN,153,N,63,St. Louis Cardinals
1912,WS1,154,N,91,Washington Senators
1913,BOS,151,N,79,Boston Red Sox
1913,BRO,152,N,65,Brooklyn Superbas
1913,BSN,154,N,69,Boston Braves
1913,CHA,153,N,78,Chicago White Sox
1913,CHN,155,N,88,Chicago Cubs
1913,CIN,156,N,64,Cincinnati Reds
1913,CLE,155,N,86,Cleveland Naps
1913,DET,153,N,66,Detroit Tigers
1913,NY1,156,N,101,New York Giants
1913,NYA,153,N,57,New York Yankees
1913,PHA,153,Y,96,Philadelphia Athletics
1913,PHI,159,N,88,Philadelphia Phillies
1913,PIT,155,N,78,Pittsburgh Pirates
1913,SLA,155,N,57,St. Louis Browns
1913,SLN,153,N,51,St. Louis Cardinals
1913,WS1,155,N,90,Washington Senators
1914,BLF,160,NA,84,Baltimore Terrapins
1914,BOS,159,N,91,Boston Red Sox
1914,BRF,157,NA,77,Brooklyn Tip-Tops
1914,BRO,154,N,75,Brooklyn Robins
1914,BSN,158,Y,94,Boston Braves
